title,id,date,category_id,view,like,comment,hour,min,sec,watched_time,description,thumbnail,channel_title,tags,dimension,definition,caption,licensed_content,topic_ids,relevant_topic_ids
"[ASMR] 비오는 날, 키보드 소리 l 토프레 무접점 타건 2탄 (feat. 레오폴드 FC660C 윤활 45g)",1oPzMgZgDPk,2021-04-16,28,1464411,27986,626,1,2,23,2023-09-16T15:55:29.922Z,"예전부터 요청 받았었던 토프레 무접점 키보드 장시간 타건 2탄입니다. 다른 영상 작업하다가 비가 오길래 급하게 준비해봤습니다. 많이 부족한 영상이지만 좋게 봐주셨으면 감사하겠습니다.



[ Time Stamp ]
0:00 Intro
0:26 Typing


[ Product Info ]
Keyboard : Leopold FC660C White (2nd Gen)
Switches : Topre 45g


[ Lubrication Info ]
Spring : none
Slider : Krytox 105 + 205 mix
Stabilizer : Krytox 205


[ Contact ]
dbokey@naver.com

Copyright 드보키 DBOKEY all right reserved",https://i.ytimg.com/vi/1oPzMgZgDPk/default.jpg,드보키 DBOKEY,"기계식키보드, 키보드 소리, 키보드 윤활, 키보드 asmr, 무접점키보드, 토프레, 토프레 무접점, 토프레 무접점 키보드, topre, keyboard sound, topre sound, keyboard asmr, 무접점 키보드 asmr",2d,hd,false,True,,
관객 한마디로 올림픽에서 박태환을 결승보낸 방법,0yC4YMoqkNs,2023-08-26,22,6823757,138255,1547,0,0,36,2023-09-16T15:54:31.077Z,관객 한마디로 올림픽에서 박태환을 결승보낸 방법,https://i.ytimg.com/vi/0yC4YMoqkNs/default.jpg,K-HISTORY,,2d,hd,false,True,,
야 잠깐만 타임,Az6XA9vx08o,2022-04-02,23,5749320,100979,1189,0,0,8,2023-09-16T15:54:22.240Z,"#️⃣ 되도록 유튜브에서 사용가능한 음원만 사용합니다.
#️⃣ 사용된 음원은 오른쪽 하단 아이콘을 누르면 볼 수 있습니다.
#️⃣ 숨어있는 명곡, 어울릴만한 곡들을 추천해주세요.


문의 e-mail👇👇
jjingangster@gmail.com

#short #쇼츠 #유머 #코미디",https://i.ytimg.com/vi/Az6XA9vx08o/default.jpg,진짜갱스터,,2d,hd,false,False,,
싸이의 프로 정신,L9qO2CfFJJc,2023-03-30,24,12205188,362044,4761,0,0,33,2023-09-16T15:53:17.935Z,#쇼츠 #shorts,https://i.ytimg.com/vi/L9qO2CfFJJc/default.jpg,김뺑끼,쇼츠,2d,hd,false,True,,
?;;;,_3felFbm0MU,2022-01-20,24,1684186,27723,226,0,0,30,2023-09-16T15:53:12.229Z,"아 ㅋㅋㅋ


-
더 많은 힙합 소식은? 👉 instagram.com/hiphopplaya
번역 : HIPHOPPLAYA EDITOR @l8eryall_ed

📽 IG @timwestwoodtv

#릴웨인 #lilwayne #구찌메인 #guccimane #에미넴 #eminem #밈 #meme #힙플밈",https://i.ytimg.com/vi/_3felFbm0MU/default.jpg,힙플밈,,2d,hd,false,False,,
내 카메라는 누굴찍어야하는것이냐..  뷔..❤️ 브루노마스 ❤️ #brunomars #bts #btsv #뷔,nzESWXhuGnQ,2023-07-10,22,815044,20422,101,0,0,22,2023-09-16T15:53:05.830Z,,https://i.ytimg.com/vi/nzESWXhuGnQ/default.jpg,스여니,,2d,hd,false,False,,
우재 씨 언제 와,5pFOPPLrqM4,2023-09-11,20,288730,8731,208,0,0,1,2023-09-16T15:53:01.094Z,"• 2023년 09월 07일 1부 방송분
(https://www.youtube.com/live/X60JG0-5b1E?si=3O5w-RTMHLDnHwGU)",https://i.ytimg.com/vi/5pFOPPLrqM4/default.jpg,침착맨 플러스,"침착맨, 이말년, 침투부",2d,hd,false,True,,
산부인과 의사가 본 환자들,pSqn4ypqcSw,2023-05-06,24,3975067,31377,2645,0,0,57,2023-09-16T15:51:59.701Z,"#shorts

핵꿀잼 보장 해드립니다🔥",https://i.ytimg.com/vi/pSqn4ypqcSw/default.jpg,핵꿀잼,"이지하게 말해서, 이지혜, 오킹, 바람, 불륜",2d,hd,false,False,,
권경영이 부르는 김경호 모창,fsJ_C72-7cE,2023-09-08,24,312692,4987,138,0,0,37,2023-09-16T15:51:56.812Z,,https://i.ytimg.com/vi/fsJ_C72-7cE/default.jpg,경영자들,,2d,hd,false,True,,
고음이 노래의 전부가 아니라는 것을 느끼게 해주는 최정훈vs로이킴 [ 헤어지자 말해요 ],T9mAU1BSDoE,2023-07-19,10,608415,11398,465,0,0,1,2023-09-16T15:51:48.952Z,#최정훈 #로이킴 #헤어지자말해요 #커버,https://i.ytimg.com/vi/T9mAU1BSDoE/default.jpg,나는 고수다,"노래, 노래배틀, 노래방, 음악, 발라드, 원곡, 커버",2d,hd,false,False,,
상남자 특),tba_ypFuZfM,2023-09-16,22,53107,859,20,0,0,39,2023-09-16T15:51:44.681Z,"원본영상 (2022.10.20 방송)
오킹TV '밥은 가볍게 한숟갈만 먹겠습니다 : 땅끝대장정 1일차 (2/4)'
https://youtu.be/Xdq3se1Ns4k?si=02tT56sQlfLUc3OQ

◆ 오킹 팬카페! 네이버 카페   : https://oking.kr/fancafe
◆ 쏠란트 홈페이지 바로가기 : https://ssolant.com
◆ 오킹에게 후원하기              : https://oking.kr/donate
◆ 오킹의 생방송 다시보기     : https://oking.kr/youtube2
◆ 구독과 좋아요 부탁드립니다.

근거없는 낭설 / 악플, 싸움조장 댓글 삭제 합니다.


영상 및 광고 문의
이메일 : okingcompany93@gmail.com


#오킹 #숏츠 #shorts",https://i.ytimg.com/vi/tba_ypFuZfM/default.jpg,숏킹,,2d,hd,false,True,,
독일 테니스 선수에게 히틀러 찬양 문구를 외친 관중의 최후는? #Shorts / 스포츠머그,CyBAB-CJLCQ,2023-09-06,17,6116887,117589,6497,0,0,59,2023-09-16T15:50:36.086Z,"어제(5일) 뉴욕에서 열린 US오픈 테니스 독일의 츠베레프 선수와 이탈리아의 신네르 선수의 경기가 진행되던 도중 한바탕 소동이 벌어졌습니다. 한 관중이 츠베레프 선수를 향해 히틀러를 찬양하는 문구를 외쳤습니다. 이 소리를 들은 츠베레프 선수는 심판에게 다가가 크게 항의했습니다. 심판은 해당 관중을 퇴장시킬 것을 명령했고, 보안요원들이 남성 관중을 경기장 밖으로 내보냈습니다.

🥇스포츠는 뭐다? ▶ 스포츠머그 SPORTSMUG

#스포츠머그 #US오픈테니스 #츠베레프 #독일 #테니스 #히틀러 #찬양 #관객 #퇴장 #smg

▶비디오머그 채널 구독하기 : https://n.sbs.co.kr/mugTube
▶Homepage : https://n.sbs.co.kr/videomug
▶Facebook : https://www.facebook.com/videomug
▶Twitter : https://twitter.com/videomug_sbs

Copyright Ⓒ SBS. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지",https://i.ytimg.com/vi/CyBAB-CJLCQ/default.jpg,스포츠머그 - SPORTSMUG,"스포츠머그, 스머, 비머, 비디오머그, 머그, 스포츠, 야구, 농구, 축구, smg, vmg, US오픈테니스, 테니스, 츠베레프, 독일, 히틀러, 관중, 퇴장",2d,hd,false,True,,
30 넘으면 다 친구하고~ 60 넘으면....,ny6TBAsT_Og,2023-01-04,24,193376,10349,72,0,0,40,2023-09-16T15:50:29.179Z,"#BTS #JIN #SEOKJIN #short #방탄 #진 #김석진 기본화질 4K 선명하게 보세요.
(악플 혼납니다. 악플 남길꺼면 지나가세요. ★원본 https://youtube.com/@bts-jin/about  링크 참고-대부분 영상은 방탄tv & 위버스 입니다.)",https://i.ytimg.com/vi/ny6TBAsT_Og/default.jpg,김석진사랑해,"bts, jin, 석진, 김석진, 방탄, 방탄소년단, BTS, seokjin, kimseokjin, 남준, 윤기, 호석, 지민, 태형, 정국, suga, rm, jk, jhope, jimin",2d,hd,false,False,,
목에 맥을 짚고 선수가 퇴장당하는 이유,quGt9dFmbPI,2023-09-03,22,7931100,85786,779,0,0,39,2023-09-16T15:49:36.095Z,목에 맥을 짚고 선수가 퇴장당하는 이유,https://i.ytimg.com/vi/quGt9dFmbPI/default.jpg,40초 갤러리,,2d,hd,false,True,,
[방탄/지민🐥]🙇🏻‍♂️지민이 헬스장 절 사진 비하인드🙇🏻‍♂️,YocUphqWRC4,2021-07-24,22,41417,2539,48,0,0,53,2023-09-16T15:49:35.259Z,#지민 #방탄 #방탄소년단 #BTS,https://i.ytimg.com/vi/YocUphqWRC4/default.jpg,BTS타니타니,,2d,hd,false,False,,
블박 주인은 이 일을 반드시 기억할 것입니다..,Em8xPwOu8ZY,2023-09-04,24,9785649,189446,4772,0,0,22,2023-09-16T15:49:21.793Z,"💓 탑현 - 사랑한다고 말해줘

#탑현 #사랑한다고말해줘 #노래추천 #사랑고백 #고딩 #커플 #감성플레이어 #가을 #연애",https://i.ytimg.com/vi/Em8xPwOu8ZY/default.jpg,연예인 저장소,,2d,hd,false,False,,
무한상사가 잘 된 이유,dG17r7wmRvY,2023-09-05,24,125278,1455,77,0,0,40,2023-09-16T15:48:29.821Z,"#요정재형 #정재형 #정형돈 #shorts

핵꿀잼 보장 해드립니다🔥",https://i.ytimg.com/vi/dG17r7wmRvY/default.jpg,핵꿀잼,"예능, 쇼츠, 레전드, 꿀잼, 무한도전, 무도, 유재석, 정준하",2d,hd,false,False,,
후드의 모범 경찰,slKxGSNE2gE,2022-10-03,24,8786832,156260,1425,0,0,15,2023-09-16T15:48:15.108Z,"-
더 많은 힙합 소식은? 👉 instagram.com/hiphopplaya
번역/편집 : HIPHOPPLAYA EDITOR @l8eryall_ed

📽 YouTube Comedy Finest 
(https://youtube.com/shorts/VUeZLeGxYpc?feature=share)
⠀
#경찰 #police #과속 #speeding #후드 #hood #일상 #daily #밈 #meme #힙플밈 #쇼츠 #shorts",https://i.ytimg.com/vi/slKxGSNE2gE/default.jpg,힙플밈,"meme, hiphopplaya, 힙합플레이야, 힙합플레이어, 힙플, 유머",2d,hd,false,False,,
먹방 유튜버의 라면 한 젓가락 클라스 먹방 #shorts,52UbSCqFI_Y,2023-09-07,24,3935770,61023,1641,0,0,31,2023-09-16T15:47:58.228Z,"집가락 정품 구매하는 곳
홍사운드몰 https://hongsound.shop/
네이버 https://smartstore.naver.com/coffeechild/products/7688043656
집가락이 특별한 이유 https://youtu.be/9KvCvdMSJ54

홍사운드 플러스 채널(네츄럴 홍의 모습들) : https://www.youtube.com/channel/UCe8eXpQCaLaEiXOh2RxU_3A
인스타그램(instagram) : https://www.instagram.com/hong_sound
영어자막 : @seungcho89 (instagram)",https://i.ytimg.com/vi/52UbSCqFI_Y/default.jpg,HONG SOUND,"집가락, 열라면, 쇼츠, 먹방, 리얼사운드, 홍사운드, ASMR, Eatingshow, MUKBANG, 라면",2d,hd,false,True,,
"생맥주와 병맥주, 캔맥주는 어떤 차이? 맥주회사에 물어봤어요. 깜짝 놀라실 겁니다. #shorts",LU0BTwWDKD4,2022-10-26,26,1585398,20103,1302,0,0,1,2023-09-16T15:46:34.495Z,"원본 풀영상은 여기에
ㄴ https://youtu.be/eq8s3mGpYy0

※식탁보감 모든 영상 목록을 보시려면 아래 링크를 클릭해주세요. 
ㄴ https://sikbo.kr/board/board/5 

▶ 식탁보감 카톡 친구맺기 
https://pf.kakao.com/_xhctDxl 

▶ 식탁보감이 엄선한 건강식품 ""식탁보감몰"" 
https://sikbo.kr 

▶이재성 박사가 직접 개발(배합)한 차전자피 식이섬유, 장프로젝트 룰루랄라 
https://sikbo.kr/product/product/53  

※ 비즈니스 문의 siktakbogam@gmail.com

*** 이재성 박사가 운영하는 카페/블로그/밴드 ***

▶ 이재성 박사의 식탁보감 (카카오스토리) https://story.kakao.com/ch/ihopebaby 
▶ 이재성 박사의 식탁보감 (밴드) https://band.us/@sikbo 
▶ 이재성 박사의 당뇨탈출 (밴드) https://band.us/@dangtal 

▶ 난임극복 임신교실 (유튜브) https://www.youtube.com/@ihopebaby 
▶ 난임극복 임신교실 (블로그) https://ihopebaby.tistory.com/ 
▶ 난임극복 임신교실 (카페) https://cafe.naver.com/ihopebaby",https://i.ytimg.com/vi/LU0BTwWDKD4/default.jpg,식탁보감,,2d,hd,false,True,,
넌 내게 모욕감을 줬어,21WFrSKr-9o,2023-09-12,15,2172672,63603,406,0,0,1,2023-09-16T15:46:00.738Z,#강형욱 #강아지 #샤이니 #SHINee #KEY #키 #꼼데가르송 #good_and_great,https://i.ytimg.com/vi/21WFrSKr-9o/default.jpg,강형욱의 보듬TV,,2d,hd,false,True,,
살짝 설렜던 민수,mgWYVkfFOnQ,2023-03-11,24,1072962,14317,36,0,0,29,2023-09-16T15:45:37.474Z,"#조현아의목요일밤 #조현아 #김민수 #피식대학
FULL: https://youtu.be/FOU0wTb_v0c",https://i.ytimg.com/vi/mgWYVkfFOnQ/default.jpg,조현아의 목요일 밤,"조현아의목요일밤, 조현아, 뮤직토크쇼, 토크쇼, 뮤직쇼, 술과음악, 음악예능, 음악, 어반자카파, 보컬, 본업, 가수, 연예인술자리, 술자리, 술먹방, 먹방, 연예인우정, 여사친, 게스트, 집초대, 집들이, 연예인집들이, 음악과 술, 술, 소주, 맥주, 만취, 구독, 좋아요, 소맥, 브이로그, 놀면뭐하니, 놀뭐, WSG, 엠카, 오버클래스, 프리스타일, 즉흥, 스캣, 미공개 곡, 조현아 찐친, 임키, 김민수, 피식대학, 메타코메디, 신도시아재들, 서준엄마, 서준아빠, 박세미, 정재형, 이용주, 메타코미디쇼, 개그맨, 개그우먼, 임플란티드키드, 커플, 한사랑산악회, 연예인먹방, 배달음식, 배달, 메타코메디클럽, 피식쇼, 피식쇼방탄소년단, 빈지노, 미초바, 임성빈, 아이앱스튜디오, 아크네스튜디오, 김해준, 김민수 부캐, 영남회장, 로니앤스티브, 피식대학해체, 빈지노 김민수, 빈지노 샤라웃, 달리반피카소, PSICK UNIV, RM, 방탄소년단, Beenzino, 빈지노 IAB, IAB, 피식대학 불화, 스테파니 미초바, 조목밤, 피식대학 해체, 피식대학 본캐, 피식대학 논란, 피식쇼 알엠",2d,hd,false,True,,
(요약판) 우리가 마늘을 꼭 썰어 먹어야 하는 이유,ATMbs47_y9A,2023-07-12,26,1754096,28121,1187,0,0,58,2023-09-16T15:44:53.044Z,"원본 풀영상 https://youtu.be/NuDe26NpIwY

※식탁보감 모든 영상 목록을 보시려면 아래 링크를 클릭해주세요. 
ㄴ https://sikbo.kr/board/board/5 

▶ 식탁보감 카톡 친구맺기 
https://pf.kakao.com/_xhctDxl 

▶ 식탁보감이 엄선한 건강식품 ""식탁보감몰"" 
https://sikbo.kr 

▶이재성 박사가 직접 개발(배합)한 차전자피 식이섬유, 장프로젝트 룰루랄라 
https://sikbo.kr/product/product/53 

※ 비즈니스 문의 siktakbogam@gmail.com

*** 이재성 박사가 운영하는 카페/블로그/밴드 ***

▶ 이재성 박사의 식탁보감 (카카오스토리) https://story.kakao.com/ch/ihopebaby 
▶ 이재성 박사의 식탁보감 (밴드) https://band.us/@sikbo 
▶ 이재성 박사의 당뇨탈출 (밴드) https://band.us/@dangtal 

▶ 난임극복 임신교실 (유튜브) https://www.youtube.com/@ihopebaby 
▶ 난임극복 임신교실 (블로그) https://ihopebaby.tistory.com/ 
▶ 난임극복 임신교실 (카페) https://cafe.naver.com/ihopebaby",https://i.ytimg.com/vi/ATMbs47_y9A/default.jpg,식탁보감,,2d,hd,false,True,,
학생 때가 좋은 이유,lfnhVqqVkHw,2023-09-14,22,154894,2490,88,0,0,52,2023-09-16T15:44:01.755Z,"원본영상 (23.08.06 방송)
오킹TV '예체능 계열이 진짜 어려운 이유'
https://youtu.be/ZpAuO4Bia0c?si=ZVDXo8y_3QPxdxuV

◆ 오킹 팬카페! 네이버 카페   : https://oking.kr/fancafe
◆ 쏠란트 홈페이지 바로가기 : https://ssolant.com
◆ 오킹에게 후원하기              : https://oking.kr/donate
◆ 오킹의 생방송 다시보기     : https://oking.kr/youtube2
◆ 구독과 좋아요 부탁드립니다.

근거없는 낭설 / 악플, 싸움조장 댓글 삭제 합니다.


영상 및 광고 문의
이메일 : okingcompany93@gmail.com


#오킹 #숏츠 #shorts",https://i.ytimg.com/vi/lfnhVqqVkHw/default.jpg,숏킹,,2d,hd,false,True,,
Máquina de fazer penta #leagueoflegends #leagueoflegendsclips #lol #music #samira #pentakill,JvORovqtTLg,2023-09-14,20,3182,0,11,0,0,28,2023-09-16T15:43:35.454Z,,https://i.ytimg.com/vi/JvORovqtTLg/default.jpg,Alec Sunday,,2d,hd,false,False,,
집 인테리어 소개,GrIy_-YzZGw,2022-06-14,22,1320737,43090,226,0,0,48,2023-09-16T15:42:43.754Z,#방탄회식 #bts #bangtan #방탄 #방탄소년단 #namjoon #seokjin #yoongi  #hoseok #jimin #taehyung  #jungkook #김남준 #김석진 #민윤기 #정호석 #박지민 #김태형 #전정국 #슈가 #진 #정국 #알엠 #제이홉 #뷔 #지민,https://i.ytimg.com/vi/GrIy_-YzZGw/default.jpg,BTS타니타니,,2d,hd,false,False,,
경찰 불러...,uMjBE1bHpm4,2023-03-30,22,2639319,41613,675,0,0,48,2023-09-16T15:42:33.923Z,#shorts #노익스강 #익스,https://i.ytimg.com/vi/uMjBE1bHpm4/default.jpg,노익스강,,2d,hd,false,True,,
흑화 전 VS 흑화 후,Di_aHujfAoI,2023-02-27,27,3246266,101067,1755,0,0,44,2023-09-16T15:42:11.225Z,"*기사 및 커뮤니티 등의 재가공 및 영상 재배포를 금합니다.

한길쌤 인강 https://www.megagong.net/teacher/home.asp?bcode=jeonhangil
한길쌤 카페 https://cafe.naver.com/hangilhistory
메가공무원 https://www.megagong.net/megagong.asp
한길쌤의 저서 전한길의 성공수업 
 https://book.naver.com/bookdb/book_detail.nhn?bid=13654304

#한국사전한길  #메가공무원 #전한길",https://i.ytimg.com/vi/Di_aHujfAoI/default.jpg,꽃보다전한길,"전한길, 인강, 공무원, 공단기, 메가공무원, 메가스터디, 한길, 설민석, 공시생, 9급",2d,hd,false,False,,
장윤주가 남편을 꼬신 방법,1HHZEEBH94Y,2023-07-19,24,1342383,16712,393,0,0,1,2023-09-16T15:40:57.209Z,"#요정재형 #정재형 #장윤주 #shorts

핵꿀잼 보장 해드립니다🔥",https://i.ytimg.com/vi/1HHZEEBH94Y/default.jpg,핵꿀잼,"예능, 쇼츠, 레전드, 꿀잼, 플러팅",2d,hd,false,False,,
Next.js 배워야 하는 이유,6qdAxEQBuoA,2023-09-16,27,746,11,1,0,0,1,2023-09-16T15:40:35.115Z,#shorts #next.js #프론트엔드,https://i.ytimg.com/vi/6qdAxEQBuoA/default.jpg,메타코드M,"next.js, 프론트엔드, 개발자",2d,hd,false,True,,
소대창 속 고소한 하얀몽글이의 정체,cykU8TR4Ovo,2023-08-09,26,4059306,45693,4400,0,0,59,2023-09-16T15:38:49.594Z,"#곱창 #대창 

원본 풀영상은 여기에 https://youtu.be/f_R9Aa0xPgU

※식탁보감 모든 영상 목록을 보시려면 아래 링크를 클릭해주세요. 
ㄴ https://sikbo.kr/board/board/5 

▶ 식탁보감 카톡 친구맺기 https://pf.kakao.com/_xhctDxl 

▶ 식탁보감이 엄선한 건강식품이 있는 스토어 https://sikbo.kr 

▶이재성 박사가 직접 개발(배합)한 차전자피 식이섬유, 장프로젝트 룰루랄라 https://sikbo.kr/product/product/53 

※ 비즈니스 문의 siktakbogam@gmail.com

*** 이재성 박사가 운영하는 카페/블로그/밴드 ***

▶ 이재성 박사의 식탁보감 (카카오스토리) https://story.kakao.com/ch/ihopebaby 
▶ 이재성 박사의 식탁보감 (밴드) https://band.us/@sikbo 
▶ 이재성 박사의 당뇨탈출 (밴드) https://band.us/@dangtal 

▶ 난임극복 임신교실 (유튜브) https://www.youtube.com/@ihopebaby 
▶ 난임극복 임신교실 (블로그) https://ihopebaby.tistory.com/ 
▶ 난임극복 임신교실 (카페) https://cafe.naver.com/ihopebaby",https://i.ytimg.com/vi/cykU8TR4Ovo/default.jpg,식탁보감,,2d,hd,false,True,,
